Date,domestic passengers_log_diff,international passenegrs_log_diff,domestic freight(in tonne)_log_diff,international freight(in tonne)_log_diff,GDP (in dollars)_log_diff,Population,Jet Fuel Price per Gallon_log_diff,Inflation Rate _log_diff,Unemployement Rate_log_diff,Rupees Exchange Rate_log_diff
2009-01-02,0.0015851158058559633,-0.1564938921918948,-0.11091225239537295,0.0668378029568899,0.0,1225524753,-0.14653745766571458,0.0,0.0,0.011230337529553491
2009-01-03,-0.05326387265979271,0.11334972212298844,0.21191420496103852,0.20741401492163902,0.0,1225524753,0.04789070724236133,0.0,0.0,0.03746204147381027
2009-01-04,0.04517407847398047,0.015989709940901875,-0.06373465560006508,-0.05672572806070875,0.0,1225524753,0.05302230179194556,0.0,0.0,-0.022948583735794337
2009-01-05,0.1730604409297829,0.0417019447170599,-0.10160102596647391,0.005086271189259861,0.0,1225524753,0.052153609840988935,0.0,0.0,-0.02965286309898829
2009-01-06,-0.06382390849932129,0.005875338884100856,0.14967961332443203,0.0032170875482471217,0.0,1225524753,0.17730112911492135,0.0,0.0,-0.017467693040391197
2009-01-07,-0.027170061761058406,0.11063426764212636,0.08723173352739799,0.08855918873878821,0.0,1225524753,-0.03757530890492955,0.0,0.0,0.014370756529857864
2009-01-08,0.016161619834704766,0.014692046612525544,0.14248396789463236,0.0737683741272761,0.0,1225524753,0.0922954051362348,0.0,0.0,-0.0024844733276618847
2009-01-09,-0.03834992527391634,-0.12508732649942367,-0.04265252425595811,-0.05622243281917072,0.0,1225524753,-0.07238653990238753,0.0,0.0,0.0010359474665202484
2009-01-10,0.12410852520810245,0.06792805129333956,0.09432932305544561,0.11691540406525647,0.0,1225524753,0.06853636188838674,0.0,0.0,-0.034551572592097735
2009-01-11,-0.018282495924385245,0.004242349026958081,-0.03400364815235157,0.07198109371779715,0.0,1225524753,0.019212467384631005,0.0,0.0,-0.002575661436795329
2009-01-12,0.14066277457211207,0.12131836220050118,0.04705801666131393,0.02472487758025288,0.0,1225524753,-0.002273097260615309,0.0,0.0,0.0
2010-01-01,-0.09519864251047494,-0.04190861466305584,-0.026955809988528756,-0.019346065200766205,0.22210298188870325,1243481564,0.02101728659772295,0.09714672761162602,-0.0013063359140557118,-0.013850037449814945
2010-01-02,-0.05419509087132823,-0.1419104822904984,-0.03166382945324031,0.014070583896941713,0.0,1243481564,-0.022535560395505527,0.0,0.0,0.008246574512166038
2010-01-03,0.01294469429578271,0.10080684538642082,0.13517077646174336,0.28857987290113307,0.0,1243481564,0.040101092232088575,0.0,0.0,-0.017880982295420456
2010-01-04,0.07681393256290114,0.01683703346138188,-0.08621814841115594,-0.22821359136725583,0.0,1243481564,0.03985812695863533,0.0,0.0,-0.022472855852058604
2010-01-05,0.1333804240730725,0.0965660842771392,0.0465411129038511,0.09027096222704323,0.0,1243481564,-0.05551546358035431,0.0,0.0,0.02948888989412124
2010-01-06,-0.06924728816497172,-0.029791165456924062,-0.0003798189575316968,-0.17013752155973627,0.0,1243481564,0.014822873237530843,0.0,0.0,0.015823457927759854
2010-01-07,-0.09276985342514976,0.07103516917017139,0.041485317590495896,0.14104646122759767,0.0,1243481564,-0.012601237835530021,0.0,0.0,0.005575824010557007
2010-01-08,-0.02511060189731218,-0.051133269794426894,0.012165269643418242,0.03294661066797744,0.0,1243481564,0.024736427983241605,0.0,0.0,-0.006436409261604492
2010-01-09,-0.0206264804817895,-0.057391769153317895,0.004191748405403928,-0.041377989658927916,0.0,1243481564,0.003293539411939328,0.0,0.0,-0.012780418733182586
2010-01-10,0.1662812573567507,0.022387466042165016,0.07234359124773526,0.05162969056293498,0.0,1243481564,0.025664541946501807,0.0,0.0,-0.033698599853491995
2010-01-11,0.05367156345793589,-0.002078763158065655,-0.1957971602732087,-0.16629259888307502,0.0,1243481564,0.04312280081708675,0.0,0.0,0.012993014326480257
2010-01-12,0.06587628529780964,0.05843169970919604,0.1085533038898081,0.15975385275997134,0.0,1243481564,0.060934913634272725,0.0,0.0,0.0037765234265640935
2011-01-01,-0.0605155706895637,-0.018720804069230823,-0.09896518017420597,-0.10491096579162651,0.08433135429770289,1261224954,0.07021955562533133,-0.29689872755670477,-0.003929278139889636,0.006189232843063053
2011-01-02,-0.07689855014602642,-0.13315388002849282,-0.04807892956173632,-0.13325432721842212,0.0,1261224954,0.08225359622610817,0.0,0.0,0.0
2011-01-03,0.059579300586323214,0.1480475259078844,0.1219237960626689,0.3266948637829188,0.0,1261224954,0.08564792692719347,0.0,0.0,-0.010410992252049223
2011-01-04,-0.03371287978968773,0.01882734833056432,-0.13227048158254995,-0.06612014137903799,0.0,1261224954,0.030954852467987237,0.0,0.0,-0.01367581004855678
2011-01-05,0.1621606476577604,0.008132723895931449,0.03498360128945599,0.013323599941825748,0.0,1261224954,-0.045932379932410505,0.0,0.0,0.013453117697118877
2011-01-06,-0.035704021679045184,0.027483963187908245,-0.0005142710321628385,-0.0980843807084888,0.0,1261224954,-0.013374236274761309,0.0,0.0,-0.002006465950156855
2011-01-07,-0.0545883275126382,0.04819123810100123,0.0730859921441045,0.05276346813962185,0.0,1261224954,0.01740940531824009,0.0,0.0,-0.009191859359872545
2011-01-08,-0.054081903821105115,-0.07192327082782413,-0.028616337444912432,-0.17937548997855224,0.0,1261224954,-0.020781100955460374,0.0,0.0,0.020288289240867563
2011-01-09,-0.037187928907608025,-0.018551676980395726,0.014297356438902398,-0.0670356757834405,0.0,1261224954,0.03250557040493174,0.0,0.0,0.05119397363108602
2011-01-10,0.16049262364088257,0.05448920341135022,-0.036184421937960565,0.11486236017209173,0.0,1261224954,0.03731906471340718,0.0,0.0,0.031171891188129575
2011-01-11,0.004655532272279217,-0.03914455360315827,0.009011776218082801,-0.011595047878524056,0.0,1261224954,0.05559760875692543,0.0,0.0,0.029637731954675672
2011-01-12,0.040271085389315786,0.07070087211522846,0.051545787760941764,0.07980599326835858,0.0,1261224954,-0.020678658567943486,0.0,0.0,0.032993483626627906
