Date,dom_pass,int_pass,dom_freight,int_freight,gdp,population,jet_fuel,inflation,unemployment,exchange_rate
03-01-2011,4778508,1139395,32156,25648,1.82305E+12,1261224954,140.59,8.91,7.62,44.91
04-01-2011,4620096,1161050,28172,24007,1.82305E+12,1261224954,145.01,8.91,7.62,44.3
05-01-2011,5433460,1170531,29175,24329,1.82305E+12,1261224954,138.5,8.91,7.62,44.9
06-01-2011,5242886,1203148,29160,22056,1.82305E+12,1261224954,136.66,8.91,7.62,44.81
07-01-2011,4964357,1262549,31371,23251,1.82305E+12,1261224954,139.06,8.91,7.62,44.4
08-01-2011,4703006,1174931,30486,19433,1.82305E+12,1261224954,136.2,8.91,7.62,45.31
09-01-2011,4531323,1153335,30925,18173,1.82305E+12,1261224954,140.7,8.91,7.62,47.69
10-01-2011,5320177,1217923,29826,20385,1.82305E+12,1261224954,146.05,8.91,7.62,49.2
11-01-2011,5345003,1171169,30096,20150,1.82305E+12,1261224954,154.4,8.91,7.62,50.68
12-01-2011,5564645,1256969,31688,21824,1.82305E+12,1261224954,151.24,8.91,7.62,52.38
01-01-2012,5285028,1297265,28469,20352,1.82764E+12,1278674502,158.14,9.48,7.67,51
02-01-2012,5004468,1147925,29009,21095,1.82764E+12,1278674502,157.67,9.48,7.67,49.18
03-01-2012,4823339,1218546,32287,22735,1.82764E+12,1278674502,163.85,9.48,7.67,50.36
04-01-2012,5004734,1052994,28253,21921,1.82764E+12,1278674502,167.12,9.48,7.67,51.69
05-01-2012,5351343,977935,33629,19085,1.82764E+12,1278674502,161.6,9.48,7.67,54.33
06-01-2012,5039497,927978,29993,18808,1.82764E+12,1278674502,150.05,9.48,7.67,55.94
07-01-2012,4433564,881972,29461,17741,1.82764E+12,1278674502,160.58,9.48,7.67,55.42
08-01-2012,4284646,879720,28492,17046,1.82764E+12,1278674502,175.35,9.48,7.67,55.49
09-01-2012,3936184,845440,28880,17107,1.82764E+12,1278674502,174.1,9.48,7.67,54.35
10-01-2012,4491740,892880,34364,17061,1.82764E+12,1278674502,164.75,9.48,7.67,53.1
11-01-2012,4928199,960013,29778,18986,1.82764E+12,1295829511,161.97,9.48,7.67,54.78
12-01-2012,5202468,1181372,30464,18964,1.82764E+12,1295829511,160.57,9.48,7.67,54.65
01-01-2013,5020441,1135550,29486,19297,1.85672E+12,1295829511,167.88,10.02,7.71,54.23
02-01-2013,4794012,1007175,27248,18096,1.85672E+12,1295829511,172.95,10.02,7.71,53.81
03-01-2013,5073353,1126322,29472,22362,1.85672E+12,1295829511,161.48,10.02,7.71,54.42
04-01-2013,4985663,1047326,27731,21373,1.85672E+12,1295829511,152.69,10.02,7.71,54.32
05-01-2013,5581543,1103207,30793,20577,1.85672E+12,1295829511,149.97,10.02,7.71,54.98
06-01-2013,4899294,1116517,31162,19670,1.85672E+12,1295829511,161.51,10.02,7.71,58.38
07-01-2013,4763303,1033542,34015,21208,1.85672E+12,1295829511,173,10.02,7.71,59.76
08-01-2013,5146105,1123651,26902,18563,1.85672E+12,1295829511,189.82,10.02,7.71,62.81
09-01-2013,4465068,1053572,33819,20080,1.85672E+12,1295829511,186.86,10.02,7.71,63.65
10-01-2013,4912812,1104481,36359,20257,1.85672E+12,1295829511,177.81,10.02,7.71,61.61
11-01-2013,5026328,1096283,30851,20788,1.85672E+12,1295829511,177.47,10.02,7.71,62.52
12-01-2013,5447178,1224721,33875,21447,1.85672E+12,1295829511,183.06,10.02,7.71,61.81
01-01-2014,5062143,1452801,32813,20034,2.03913E+12,1312277191,181.5,6.67,7.67,62.11
02-01-2014,4874364,1276090,30527,18907,2.03913E+12,1312277191,184.67,6.67,7.67,62.16
03-01-2014,5208065,1408225,35579,22864,2.03913E+12,1312277191,176.19,6.67,7.67,60.95
04-01-2014,5247143,1399846,33913,21124,2.03913E+12,1312277191,174.31,6.67,7.67,60.35
05-01-2014,5936825,1425782,38527,22021,2.03913E+12,1312277191,170.2,6.67,7.67,59.28
06-01-2014,5594898,1399093,38731,21637,2.03913E+12,1312277191,172.15,6.67,7.67,59.74
07-01-2014,5172742,1359039,41037,21665,2.03913E+12,1312277191,169.2,6.67,7.67,60.1
08-01-2014,5648739,1466306,40671,20600,2.03913E+12,1312277191,172.88,6.67,7.67,60.87
09-01-2014,5745441,1329624,42365,21615,2.03913E+12,1312277191,166.15,6.67,7.67,60.9
10-01-2014,5830052,1394998,40903,21792,2.03913E+12,1312277191,150.92,6.67,7.67,61.37
11-01-2014,5782353,1366869,41479,21942,2.03913E+12,1312277191,141.67,6.67,7.67,61.68
